layerCount,neuronCount,neuronInputCount,trainMACE,testMACE,trainARGM,testARGM
61,91,41,0.029473554,0.030506548,0.029816667,0.0313
41,91,61,0.026660735,0.027437752,0.026066666,0.0288
61,41,91,0.02688879,0.027702373,0.023566667,0.0274
91,61,41,0.029178707,0.030022725,0.029533334,0.0315
31,81,91,0.025495479,0.026333034,0.023133334,0.0279
31,91,81,0.025850086,0.026944477,0.022216666,0.0261
91,81,31,0.030723691,0.031208389,0.033216666,0.0353
81,91,31,0.030913109,0.031790365,0.0334,0.0375
91,31,81,0.02597065,0.026758667,0.023866666,0.0274
81,31,91,0.02609157,0.027284527,0.022816667,0.027
41,81,71,0.026645811,0.027688513,0.02325,0.0272
71,41,81,0.02602415,0.027053049,0.02385,0.0283
81,41,71,0.0268954,0.027838483,0.024666667,0.0282
41,71,81,0.025879394,0.026901435,0.022633333,0.0267
81,71,41,0.02865642,0.029371645,0.029066667,0.031
71,81,41,0.028458318,0.029263185,0.02945,0.0335
91,51,51,0.028082604,0.028860368,0.0259,0.0293
51,51,91,0.025948942,0.027114406,0.021916667,0.0253
51,91,51,0.028044343,0.02897667,0.02775,0.0301
51,61,81,0.025655603,0.026673196,0.023316666,0.0257
61,81,51,0.027177189,0.02823188,0.025633333,0.0303
81,61,51,0.02849781,0.02928425,0.027233334,0.0303
81,51,61,0.027084814,0.02779339,0.025683334,0.0297
61,51,81,0.026119318,0.027289243,0.023233334,0.0277
51,81,61,0.027034843,0.028223237,0.024666667,0.0288
91,31,91,0.024963506,0.026030915,0.0219,0.0273
31,91,91,0.02663771,0.027618269,0.022916667,0.0271
91,91,31,0.030714935,0.031349678,0.032783333,0.0357
51,71,71,0.02630883,0.027135815,0.024133334,0.0259
71,71,51,0.028540215,0.029291322,0.026483333,0.0288
71,51,71,0.026395667,0.027655862,0.0232,0.0273
61,71,61,0.027142555,0.028232163,0.024916667,0.0283
61,61,71,0.026271492,0.027165815,0.023433333,0.0271
71,61,61,0.026825732,0.027908582,0.02565,0.0283
71,41,91,0.025572572,0.02691346,0.023233334,0.0275
91,71,41,0.028405918,0.029224753,0.02835,0.0328
41,91,71,0.027327953,0.02827585,0.024383333,0.0264
41,71,91,0.026054714,0.02726337,0.022683334,0.027
71,91,41,0.029997608,0.030862281,0.03,0.0339
91,41,71,0.026040029,0.027275296,0.0236,0.0271
81,81,41,0.02854261,0.029392602,0.028333334,0.0297
81,41,81,0.026176915,0.027225241,0.021383334,0.0263
41,81,81,0.02643723,0.027385047,0.022683334,0.0267
51,91,61,0.026509063,0.027363481,0.023666667,0.0265
61,51,91,0.025457678,0.026578372,0.021866666,0.0262
51,61,91,0.026134744,0.027243745,0.022066666,0.0259
91,51,61,0.027113276,0.028296413,0.024783334,0.0275
61,91,51,0.028418636,0.029016279,0.026683334,0.0293
91,61,51,0.028075714,0.028732022,0.02725,0.0293
81,51,71,0.026105767,0.027165359,0.023566667,0.0277
51,71,81,0.02594605,0.026946686,0.0235,0.0273
71,81,51,0.026873864,0.02763487,0.026316667,0.0301
81,71,51,0.026940139,0.027858332,0.026166666,0.0288
51,81,71,0.026364915,0.027573604,0.024283333,0.0277
71,51,81,0.02657899,0.027739074,0.022766666,0.026
61,61,81,0.026207548,0.027311828,0.0216,0.0266
81,61,61,0.026602903,0.027610792,0.025466667,0.0285
61,81,61,0.026994009,0.02788561,0.0251,0.0277
91,81,41,0.028997276,0.02981438,0.0267,0.03
81,41,91,0.026158059,0.027125336,0.0219,0.0241
41,81,91,0.026019255,0.027119935,0.023316666,0.0288
81,91,41,0.028793825,0.029500762,0.027633334,0.0299
91,41,81,0.025798542,0.026934182,0.02275,0.026
41,91,81,0.02529942,0.026480861,0.022633333,0.0277
61,71,71,0.026824955,0.027867632,0.0234,0.027
71,61,71,0.02702979,0.028005827,0.023716666,0.0279
71,71,61,0.026941616,0.027750041,0.025216667,0.0286
71,91,51,0.027674476,0.028548859,0.02625,0.03
91,51,71,0.026878098,0.027765062,0.0233,0.0289
71,51,91,0.025466835,0.026506864,0.022033334,0.0261
51,71,91,0.024475358,0.025772678,0.021083333,0.0252
91,71,51,0.028051514,0.028779354,0.0254,0.0292
51,91,71,0.02569392,0.026816582,0.023416666,0.0272
81,81,51,0.027304733,0.028231565,0.026533334,0.0307
51,81,81,0.026033666,0.027084233,0.023216667,0.0265
81,51,81,0.025875015,0.026947329,0.023033334,0.0264
91,61,61,0.028361233,0.029238945,0.02525,0.0294
61,91,61,0.026625367,0.027471103,0.02355,0.0271
61,61,91,0.026388204,0.027568363,0.0219,0.0262
91,41,91,0.025371516,0.026496328,0.021733332,0.0269
91,91,41,0.029068902,0.030080905,0.0288,0.0336
41,91,91,0.02624204,0.02717837,0.02235,0.0258
61,71,81,0.025899166,0.026847124,0.0222,0.0258
61,81,71,0.026028264,0.027066562,0.023183333,0.0268
81,61,71,0.025908606,0.02695015,0.022766666,0.0267
81,71,61,0.0266491,0.027569028,0.023683334,0.0256
71,81,61,0.026829235,0.028050657,0.023716666,0.0281
71,61,81,0.025725843,0.026784102,0.022683334,0.0255
71,71,71,0.025464794,0.02670706,0.022083333,0.0258
51,91,81,0.026020883,0.027135247,0.022166668,0.0266
81,51,91,0.025446549,0.026719444,0.02235,0.0262
91,51,81,0.025326066,0.02646979,0.02125,0.0265
51,81,91,0.025028178,0.026000852,0.019983333,0.025
81,91,51,0.027943792,0.02884895,0.026,0.0295
91,81,51,0.027137939,0.028019732,0.025883334,0.03
91,61,71,0.026929097,0.027888518,0.023583334,0.0262
91,71,61,0.026470767,0.027441407,0.023383332,0.0275
61,91,71,0.027053453,0.028161656,0.023783334,0.0288
71,91,61,0.026611378,0.027689923,0.024183333,0.0279
71,61,91,0.025428211,0.026876222,0.020933334,0.0256
61,71,91,0.024878263,0.026078096,0.020716667,0.0261
61,81,81,0.025686141,0.02672238,0.0231,0.0279
81,61,81,0.025887324,0.027003344,0.021716667,0.0266
81,81,61,0.026253909,0.027393932,0.02285,0.026
71,81,71,0.025246046,0.026277008,0.022133334,0.026
81,71,71,0.02604624,0.027060945,0.022716668,0.0265
71,71,81,0.025048416,0.026108589,0.021266667,0.0249
51,91,91,0.025502345,0.02671278,0.020716667,0.0261
91,91,51,0.029136647,0.030143186,0.0264,0.0315
91,51,91,0.025375623,0.026640557,0.020716667,0.0245
61,81,91,0.024708148,0.02601321,0.020316666,0.0262
81,61,91,0.025356932,0.02667504,0.0198,0.0246
91,61,81,0.025208762,0.026328633,0.02105,0.0242
91,81,61,0.026565053,0.02799366,0.021616668,0.0251
81,91,61,0.026843214,0.027794428,0.0237,0.0271
61,91,81,0.024936464,0.025973462,0.021616668,0.0248
91,71,71,0.026807593,0.028156914,0.0223,0.0271
71,71,91,0.02512373,0.026256934,0.020566666,0.0241
71,91,71,0.025428243,0.026553374,0.022466667,0.0268
81,71,81,0.025197076,0.026480805,0.020583333,0.0254
71,81,81,0.026266638,0.027395323,0.0208,0.0247
81,81,71,0.025691256,0.026803698,0.022916667,0.0272
61,91,91,0.025099786,0.026334986,0.020016667,0.0253
91,91,61,0.026661234,0.027619075,0.0237,0.0265
91,61,91,0.025134835,0.026634894,0.0189,0.0242
71,91,81,0.025283294,0.026421111,0.020166667,0.0249
81,71,91,0.025124533,0.026226673,0.021183332,0.026
91,71,81,0.026313124,0.02724932,0.022033334,0.0261
91,81,71,0.025520837,0.026637467,0.02125,0.0255
81,91,71,0.026959745,0.027860686,0.023066666,0.0264
71,81,91,0.025171474,0.026357932,0.020866666,0.026
81,81,81,0.025594797,0.026782067,0.02075,0.0243
71,91,91,0.024791185,0.025887622,0.020033333,0.0231
91,71,91,0.025337467,0.026722545,0.019333333,0.0247
91,91,71,0.025419366,0.02650886,0.0211,0.0255
81,91,81,0.02539855,0.026704965,0.021183332,0.0257
91,81,81,0.024552317,0.025742631,0.02,0.0241
81,81,91,0.024999326,0.026443487,0.01945,0.0241
91,91,81,0.025708806,0.026971439,0.020416666,0.0253
81,91,91,0.024926005,0.026117222,0.0192,0.0232
91,81,91,0.02567862,0.026907636,0.020766666,0.0239
91,91,91,0.024258878,0.025737591,0.017866667,0.024
